bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-16_task-1_bold	0.005481210526315789	0.04579178497368421	0	46.79647915213721	1.089666772744064	0.9189140154617411	0.5609	299.5049	0.3168337481069104	225	59.21052631578947	3.792075776248158	3.6574333333333335	3.8420666666666663	3.876727328744474	0.0115025	-0.0261049997061491	0.03324006497859955	380	70	70	38	2.108375368352191	2.4509999752044678	3.0	3.0	3.299999952316284	84.8175	166.3362	1388.7857	706.0	137289.0	589.0	4131.0	2229.072	0.9575	5284.1854	12857.9321	12224.0	48911.0	4432.0	23542.0	5797.7698	21.059753134846687
sub-16_task-2_bold	0.012911999999999996	0.050177544000000004	0	48.528487449525066	1.1440436418469657	0.9815420019261215	0.5577	303.6843	0.4677226203294847	291	76.57894736842105	3.867621230483602	3.9756	3.8148999999999997	3.812363691450808	0.0102584	-0.022685840725898743	0.030606402084231377	380	70	70	38	2.1026190857662925	2.4509999752044678	3.0	3.0	3.299999952316284	90.5883	172.5905	1390.4582	717.0	137941.0	595.0	4138.0	2186.152	0.7278	5456.8318	13064.5491	12499.0	48259.0	3954.0	23911.0	5944.4293	19.55594788736198
sub-17_task-1_bold	0.0016649076517150395	0.005023168891820581	1	24.00021787907408	1.1443487201058204	0.9848478134656081	0.5387	553.6077	0.19185534217980105	155	40.89709762532981	2.460616375401923	2.4282266666666668	2.51088	2.4427424595391023	0.00707652	-0.01297271903604269	0.013347694650292397	379	70	70	38	2.7703038826994626	2.4509999752044678	3.0	3.0	3.299999952316284	37.2965	45.6633	907.1412	490.0	140480.0	457.0	2864.0	1300.5396	1.0845	3439.3715	11678.4061	11532.0	45720.0	4723.5	18787.5	4162.6747	63.688618490472436
sub-17_task-2_bold	0.002346490765171504	0.005768147625329816	1	21.890558086560848	1.1177671400793654	0.9782730892857141	0.5422	542.645	0.13908348114899244	78	20.58047493403694	2.4543927389816558	2.4218066666666664	2.5103866666666668	2.430984883611634	0.00604361	-0.014110093005001545	0.013861289247870445	379	70	70	38	2.7775755229435806	2.4509999752044678	3.0	3.0	3.299999952316284	36.1179	48.5269	921.6755	494.0	139998.0	459.0	2936.0	1322.2883	1.0408	3456.3642	11644.1864	11497.5	46202.0	4751.0	18772.0	4139.3566	61.19523840374313
sub-18_task-1_bold	0.005870947368421053	0.016180468342105264	0	21.03132636963059	0.9294753496042211	0.8860082167282327	0.5562	392.4799	0.15835442327461455	88	23.157894736842106	3.321493248114906	3.307676666666667	3.3781666666666665	3.2786364110113837	0.00762136	-0.028412191197276115	0.00454689422622323	380	70	70	38	1.9464581870506188	2.4509999752044678	3.0	3.0	3.299999952316284	51.292	140.4531	1794.7515	687.0	136613.0	586.0	6754.0	3490.1434	1.6187	5611.4814	14786.8294	13600.0	49587.0	5278.0	28835.0	6986.9792	32.74566906457767
sub-18_task-2_bold	0.0026986015831134565	0.015748844274406332	1	28.938972183174613	0.9876760064814822	0.8983944828042334	0.5591	392.9855	0.2718437033878435	188	49.6042216358839	3.2269165811158977	3.2104533333333336	3.26066	3.2096364100143604	0.00958353	-0.02920515462756157	0.004931977484375238	379	70	70	38	2.0326327671869686	2.4509999752044678	3.0	3.0	3.299999952316284	49.0937	140.8393	1802.4939	686.0	136826.0	585.0	6772.0	3520.401	1.4806	5431.6522	14665.837	13603.0	49374.0	5406.0	27994.0	6692.238	32.473034458234906
sub-19_task-1_bold	0.007788210526315787	0.026430769842105264	0	26.494324198654358	1.008882559788918	0.8842255986807401	0.5437	342.9774	0.13850515140628417	67	17.63157894736842	2.9207489025461797	2.9839366666666667	2.94281	2.8355000409718722	0.0128509	6.396890967153013e-05	0.02557176537811756	380	70	70	38	2.5690074686441675	2.4509999752044678	3.0	3.0	3.299999952316284	43.5841	47.4549	985.0197	577.0	144509.0	542.0	2989.0	1174.8166	-0.063	3946.2455	10633.5102	10694.0	41691.0	2642.0	17217.0	4162.6472	32.421830205246806
sub-19_task-2_bold	0.001412315789473684	0.007569061789473685	0	25.240125369419513	1.15320907343008	0.9713493311609501	0.5418	341.6926	0.1295802385320822	55	14.473684210526315	2.836624861817286	2.9091966666666664	2.8326233333333337	2.768054585451857	0.024898	-0.0001834687718655914	0.026822689920663834	380	70	70	38	2.502546699884447	2.4509999752044678	3.0	3.0	3.299999952316284	59.2873	48.4577	990.838	579.0	144630.0	544.0	3040.0	1194.3738	-0.0655	4085.2905	10685.0692	10705.0	41570.0	2644.0	17616.0	4277.591	49.84929395839572
sub-20_task-1_bold	0.004505672823218998	0.004427690052770448	1	22.493384936507947	1.196171262037037	1.0245238721428567	0.5535	485.4117	0.15432253070697816	80	21.108179419525065	2.7727164778185984	2.68151	2.901866666666667	2.734772766789129	0.0231652	-0.00866545271128416	0.02891763485968113	379	70	70	38	2.6378288047166256	2.4509999752044678	3.0	3.0	3.299999952316284	63.3849	45.4717	983.9254	567.0	135677.0	533.0	2979.0	1311.1836	0.6904	4197.0138	12727.1369	12485.0	50523.0	4843.0	20938.0	4733.0124	65.32780887046829
sub-20_task-2_bold	0.006768921052631579	0.004186174394736842	0	25.26521550129287	1.2207513205804743	1.045048455408972	0.5548	480.4522	0.19802687237858968	113	29.736842105263158	2.735798093843352	2.6479733333333333	2.853063333333333	2.70635761486339	0.0225602	-0.00834310706704855	0.028030939400196075	380	70	70	38	2.616601181078984	2.4509999752044678	3.0	3.0	3.299999952316284	51.3145	46.1245	985.6876	569.0	135307.0	534.0	3008.0	1273.4499	0.6662	4206.3235	12718.7988	12475.0	50893.0	4726.0	20986.0	4767.5884	62.187285830732435
